ORF.1	ORF.2
YIR001C	YHR083W
YDR293C	YOR326W
YER095W	YMR058W
YLR025W	YMR134W
YBR006W	YGL084C
YJL016W	YGL040C
YMR292W	YOR069W
YKL080W	YML001W
YER002W	YDR238C
YKR088C	YML012W
YEL015W	YDL088C
YGR119C	YHR122W
YMR255W	YLR248W
YPR029C	YJR042W
YER023W	YML038C
YIL043C	YHR063C
YGR054W	YIL038C
YIL127C	YHR072W
YLR083C	YNL007C
YDR098C	YML086C
YHR196W	YKL140W
YDL165W	YBR036C
YLR200W	YHR074W
YDR321W	YGR048W
YLR319C	YKL013C
YCR043C	YOR229W
YJR040W	YIL105C
YMR238W	YJL154C
YGL048C	YCL039W
YML038C	YBR264C
YLR270W	YJR010C-A
YGR277C	YGL206C
YPL246C	YLR332W
YER002W	YPR139C
YER113C	YLR027C
YML112W	YDL212W
YDR060W	YBL029C-A
YGL099W	YML013W
YPR062W	YML007W
YML106W	YDL212W
YGL011C	YLL034C
YNL197C	YDR398W
YFR001W	YDL029W
YPL116W	YBL051C
YHR207C	YGR191W
YMR192W	YML035C
YBR052C	YLR378C
YNL283C	YNR053C
YNL290W	YPR010C
YPL087W	YCR005C
YOR027W	YOR316C
YER063W	YML018C
YDR517W	YNL283C
YPR184W	YNL229C
YMR093W	YHR063C
YMR229C	YJL117W
YBR288C	YLR326W
YOR259C	YLR056W
YML031W	YJL153C
YBR207W	YML013W
YPR113W	YBR009C
YKR048C	YJL117W
YLR262C	YGL029W
YBR068C	YDR503C
YPR062W	YPR129W
YML112W	YGR106C
YNL186W	YLR350W
YDL160C	YBR216C
YFR040W	YKL008C
YJL178C	YKR072C
YGR130C	YJR060W
YMR192W	YGR128C
YHR142W	YML086C
YKR007W	YHR003C
YGL203C	YGR128C
YOR039W	YDL222C
YLR219W	YOR206W
YIR037W	YGR119C
YGR020C	YDR501W
YPL058C	YOR132W
YML038C	YPL227C
YJL005W	YGR005C
YJL020C	YBL068W
YLR033W	YGL002W
YNL030W	YBL039C
YJL020C	YMR229C
YBR214W	YGL172W
YBL102W	YKL193C
YHL002W	YIL038C
YLR420W	YDR105C
YFL005W	YHR052W
YEL017W	YER112W
YHR175W	YNL030W
YBR222C	YNL287W
YGL195W	YJR010C-A
YHR094C	YOR109W
YBR222C	YNL313C
YDR501W	YLR420W
YKL190W	YLR206W
YMR010W	YOR089C
YMR054W	YOR273C
YNL190W	YLR200W
YNR053C	YML067C
YBL056W	YGL210W
YGR105W	YLR033W
YFL005W	YNL238W
YMR140W	YMR229C
YDR507C	YLR027C
YCR075C	YMR250W
YML093W	YGR191W
YNL118C	YGL029W
YKR023W	YDL212W
YDR202C	YHR121W
YML075C	YLL021W
YGL242C	YML067C
YLR237W	YJR125C
YDR105C	YFR024C-A
YLR258W	YPL045W
YGR036C	YML056C
YCR043C	YFR051C
YJR125C	YHR089C
YPR184W	YOR094W
YOR054C	YPL094C
YJL148W	YML007W
YDL147W	YDR503C
YNL110C	YIL143C
YMR269W	YER035W
YBR036C	YNL243W
YIL047C	YKL041W
YBL026W	YKR071C
YER031C	YBR244W
YML093W	YHR027C
YPR184W	YJR060W
YML106W	YDR329C
YAL026C	YHR207C
YHR094C	YLR144C
YMR010W	YHR074W
YDL002C	YLR133W
YKL181W	YMR231W
YGR028W	YGR036C
YLR110C	YGL099W
YKL159C	YLR133W
YLL022C	YDR517W
YEL015W	YGL087C
YGL020C	YLR083C
YGL012W	YHR098C
YML075C	YHR108W
YGL120C	YNR031C
YLR413W	YJR117W
YOR027W	YHL011C
YGL049C	YMR292W
YOR094W	YML017W
YBL039C	YLR170C
YHR123W	YMR125W
YER035W	YGL043W
YOR229W	YBL102W
YDR379W	YHL002W
YHR133C	YGR138C
YKR080W	YBL071W-A
YDR011W	YKR023W
YBR006W	YGL087C
YER145C	YLR170C
YML035C	YIL143C
YGR106C	YGR065C
YDR381C-A	YNL287W
YJL109C	YML017W
YDL212W	YFL036W
YDL019C	YNL002C
YGL070C	YKL140W
YEL051W	YDR388W
YPL263C	YNL229C
YML057W	YPL186C
YKL190W	YDR497C
YGL012W	YOR117W
YLR181C	YGR119C
YGR205W	YNL106C
YGL049C	YKL008C
YBR241C	YPL094C
YDL002C	YBR006W
YDL047W	YDL113C
YDL088C	YOR133W
YGR106C	YDL235C
YGL049C	YJL053W
YPR075C	YIL115C
YHR072W	YNL288W
YLL012W	YKR080W
YKL159C	YER006W
YJR060W	YJR118C
YPL119C	YDL052C
YBR155W	YDR162C
YMR105C	YKR003W
YLR170C	YGR281W
YNL091W	YBL011W
YHR016C	YNL130C
YDL199C	YGL014W
YLR397C	YJL148W
YGL137W	YGL077C
YLR330W	YPR079W
YBL039C	YLL011W
YGL002W	YER056C
YNR049C	YNR052C
YDL222C	YML058W-A
YKR003W	YNL112W
YBL011W	YBR288C
YLR237W	YLR328W
YGR080W	YFR024C-A
YDL215C	YHR133C
YDL224C	YDL052C
YBR130C	YDR515W
YLR337C	YKL094W
YKR023W	YMR011W
