ORF.1	ORF.2
YHR083W	YBL071W-A
YNR006W	YAL053W
YPL094C	YGL213C
YDR321W	YLR083C
YML072C	YML017W
YBR106W	YGL029W
YIR001C	YLR172C
YJL036W	YLL043W
YLR347C	YHR083W
YKR071C	YDR101C
YDL113C	YPR016C
YGR261C	YDR398W
YOL061W	YER023W
YDL058W	YGR284C
YNL238W	YML121W
YDL215C	YDR162C
YNR031C	YMR093W
YCR030C	YML106W
YPR113W	YAL029C
YLR337C	YGR163W
YLL001W	YHR089C
YDL204W	YPL004C
YAL041W	YIL068C
YEL002C	YPR062W
YOL147C	YHR207C
YGR183C	YML013W
YDL224C	YLR319C
YLR206W	YHR110W
YHR001W	YML031W
YBR077C	YBR155W
YKL013C	YHR108W
YLR027C	YDL135C
YIL121W	YCL055W
YPL178W	YDL236W
YGR229C	YGR284C
YDL123W	YMR266W
YAL053W	YIL062C
YER166W	YDR293C
YOR261C	YNL322C
YBR177C	YDR378C
YCR005C	YLR083C
YLL022C	YLR170C
YKL054C	YHR104W
YER068W	YKL013C
YKR088C	YML035C
YCR028C-A	YJR068W
YBR265W	YIL043C
YML018C	YLR196W
YBL051C	YGL048C
YOR357C	YNL229C
YIR038C	YER052C
YNL307C	YAL053W
YJR118C	YOR087W
YNL084C	YGL049C
YOR087W	YGL153W
YIL121W	YLR450W
YGR281W	YNL247W
YCR009C	YHR098C
YDL204W	YBL051C
YJR060W	YDR329C
YHR158C	YOR273C
YIL043C	YGL070C
YBR023C	YLR025W
YMR058W	YDR202C
YKL002W	YER113C
YFL041W	YIL047C
YDL006W	YPR128C
YGR005C	YPL263C
YGR103W	YHR012W
YER023W	YNL084C
YFL038C	YML016C
YOR109W	YNL197C
YKR035W-A	YDR152W
YGL210W	YCR075C
YBL051C	YIL038C
YKR097W	YGL001C
YNL214W	YMR261C
YHR123W	YBR102C
YDR352W	YHR142W
YGL203C	YDL125C
YPL227C	YOR069W
YPR189W	YOR069W
YLR206W	YOR132W
YKL078W	YML112W
YLL034C	YGL006W
YJR118C	YOR027W
YDL212W	YNL255C
YDL113C	YNL153C
YGL077C	YER002W
YOR117W	YJR076C
YKL078W	YCL063W
YNR028W	YKL078W
YNL313C	YLR454W
YER113C	YHR003C
YGL055W	YNL147W
YBL007C	YGR054W
YHR089C	YBL051C
YMR221C	YIL034C
YML112W	YML038C
YFR021W	YLL011W
YNL007C	YML072C
YNR035C	YGR036C
YFL036W	YNL197C
YDR398W	YER136W
YGL203C	YGL120C
YOR153W	YMR269W
YBR154C	YNL290W
YNL147W	YDR381C-A
YHR121W	YOR145C
YPL116W	YDR329C
YKR048C	YBR214W
YER056C	YOR094W
YGR054W	YHR098C
YDL058W	YGL210W
YMR047C	YHR003C
YMR221C	YOR340C
YGR036C	YOR273C
YIR038C	YJL068C
YNL288W	YDR501W
YNL118C	YPL186C
YHR072W-A	YKL067W
YDL125C	YOR061W
YKL041W	YER020W
YHR122W	YLR144C
YDR284C	YIL047C
YHR158C	YNL288W
YJL151C	YNL112W
YBR207W	YGR080W
YER031C	YNR053C
YPR184W	YKL130C
YHR133C	YGL029W
YKR088C	YDR098C
YJL151C	YBR288C
YBL033C	YKL080W
YBL029C-A	YOL105C
YOR181W	YJR060W
YDR105C	YHR089C
YDR321W	YLL011W
YMR096W	YHR072W
YBR241C	YLL022C
YML086C	YMR109W
YGL055W	YDR100W
YOR069W	YDR363W-A
YOR259C	YMR139W
YMR300C	YJR076C
YLR347C	YCR030C
YDR515W	YLR196W
YHR133C	YPL004C
YMR004W	YML035C
YJL148W	YDR129C
YLR025W	YGL195W
YDL131W	YLR378C
YCR095C	YNL118C
YOR181W	YOR206W
YER023W	YDR321W
YJR010W	YIL047C
YNR051C	YPL045W
YLR370C	YMR272C
YNL288W	YML075C
YPL227C	YML056C
YGR119C	YOR316C
YOR089C	YDR436W
YDL212W	YKL051W
YPL246C	YER002W
YDR398W	YGR280C
YJR125C	YJL192C
YPL091W	YML057W
YLR219W	YHR135C
YNL288W	YGR191W
YGL087C	YDR397C
YHR142W	YOR039W
YPR113W	YML101C
YHL029C	YJR010C-A
YBL033C	YCL039W
YLL021W	YNL322C
YLR170C	YBR213W
YDR297W	YEL015W
YOR145C	YJL020C
YLR360W	YMR093W
YOR054C	YOR094W
YGL049C	YKL051W
YFL005W	YMR149W
YGL077C	YIL048W
YMR149W	YGL043W
YKR048C	YAR002W
YMR250W	YLR330W
YBL033C	YML031W
YGR187C	YMR221C
YHR003C	YCL055W
YLR028C	YIR012W
YER040W	YHR094C
YNL091W	YGR020C
YML017W	YDL052C
YGR191W	YLR028C
YMR004W	YPL145C
YER159C	YDL165W
YPR139C	YGR128C
YLR324W	YHL007C
YDL088C	YFR021W
YML067C	YNL147W
YIL062C	YML012W
